campaign_id,campaign_name,start_date,end_date,budget
41,Cyber Monday Madness,27-11-2023,30-11-2023,9000
42,Black Friday Bonanza,24-11-2023,25-11-2023,12000
43,Holiday Cheer,01-12-2023,31-12-2023,11000
44,Spring Renewal,15-03-2023,15-04-2023,6500
45,Summer Fun Fest,15-06-2023,15-07-2023,7200
46,Back to School Bash,15-08-2023,15-09-2023,5800
47,Halloween Spooktacular,01-10-2023,31-10-2023,3500
48,Thanksgiving Deals,01-11-2023,30-11-2023,9500
49,Spring Fling,01-03-2023,31-03-2023,5000
50,Summer Sizzle,01-06-2023,30-06-2023,7000
51,Fall Frenzy,01-09-2023,30-09-2023,6000
52,Winter Wonderland,01-12-2023,31-12-2023,10000
53,"New Year, New You",01-01-2023,31-01-2023,8000
54,Valentine's Week,01-02-2023,14-02-2023,3000
55,Easter Extravaganza,01-04-2023,30-04-2023,4000
56,Fall Fest,01-09-2023,30-09-2023,5500
57,Cyber Week,27-11-2023,30-11-2023,9000
58,Black Friday Deals,24-11-2023,25-11-2023,12000
59,Winter Wonderland,01-12-2023,31-12-2023,11000
60,Spring Awakening,15-03-2023,15-04-2023,6500
61,Summer Splash,15-06-2023,15-07-2023,7200
62,Back to School Bash,15-08-2023,15-09-2023,5800
63,Halloween Haunt,01-10-2023,31-10-2023,3500
64,Thanksgiving Feast,01-11-2023,30-11-2023,9500
65,Spring into Savings,01-03-2023,31-03-2023,5000
66,Summer Vibes,01-06-2023,30-06-2023,7000
67,Fall Harvest,01-09-2023,30-09-2023,6000
68,Winter Warm-Up,01-12-2023,31-12-2023,10000
69,"New Year, New Deals",01-01-2023,31-01-2023,8000
70,Valentine's Day Sale,01-02-2023,14-02-2023,3000
71,Easter Eggstravaganza,01-04-2023,30-04-2023,4000
72,Fall Festivities,01-09-2023,30-09-2023,5500
73,Cyber Monday Madness,27-11-2023,30-11-2023,9000
74,Black Friday Bonanza,24-11-2023,25-11-2023,12000
75,Holiday Cheer,01-12-2023,31-12-2023,11000
76,Spring Renewal,15-03-2023,15-04-2023,6500
77,Summer Fun Fest,15-06-2023,15-07-2023,7200
78,Back to School Bash,15-08-2023,15-09-2023,5800
79,Halloween Spooktacular,01-10-2023,31-10-2023,3500
80,Thanksgiving Deals,01-11-2023,30-11-2023,9500
81,Spring Fling,01-03-2023,31-03-2023,5000
82,Summer Sizzle,01-06-2023,30-06-2023,7000
83,Fall Frenzy,01-09-2023,30-09-2023,6000
84,Winter Wonderland,01-12-2023,31-12-2023,10000
85,"New Year, New You",01-01-2023,31-01-2023,8000
86,Valentine's Week,01-02-2023,14-02-2023,3000
87,Easter Extravaganza,01-04-2023,30-04-2023,4000
88,Fall Fest,01-09-2023,30-09-2023,5500
89,Cyber Week,27-11-2023,30-11-2023,9000
90,Black Friday Deals,24-11-2023,25-11-2023,12000
91,Winter Wonderland,01-12-2023,31-12-2023,11000
92,Spring Awakening,15-03-2023,15-04-2023,6500
93,Summer Splash,15-06-2023,15-07-2023,7200
94,Back to School Bash,15-08-2023,15-09-2023,5800
95,Halloween Haunt,01-10-2023,31-10-2023,3500
96,Thanksgiving Feast,01-11-2023,30-11-2023,9500
97,Spring into Savings,01-03-2023,31-03-2023,5000
98,Summer Vibes,01-06-2023,30-06-2023,7000
99,Fall Harvest,01-09-2023,30-09-2023,6000
100,Winter Warm-Up,01-12-2023,31-12-2023,10000
